protein_id,graph_degree,graph_weight,graph_lift
Q15735,415,3530.0,2532.4604600000007
Q9NZ20,415,3530.0,2532.4604600000007
Q9NY91,1797,9533.0,11814.788920000017
O95461,6986,35272.0,45246.10619000014
P09382,225,1711.0,1342.33195
Q6ZT62,225,1711.0,1342.33195
Q9UJY5,225,1711.0,1342.33195
Q9Y3L3,225,1711.0,1342.33195
Q96GD0,225,1711.0,1342.33195
P49674,2180,8916.0,14677.630700000047
P31941,1110,5112.0,7351.129210000002
Q9UH17,1110,5112.0,7351.129210000002
Q96AK3,1258,6868.0,8274.421840000015
Q8IUX4,1258,6868.0,8274.421840000015
Q9NRW3,1258,6868.0,8274.421840000015
Q9HC16,1258,6868.0,8274.421840000015
Q8NEG4,1388,8360.0,8901.272219999988
Q9UPQ9,506,4534.0,3091.3382099999994
Q969R5,61,1238.0,346.2734000000001
Q6NUI6,61,1238.0,346.2734000000001
Q09472,61,1238.0,346.2734000000001
Q14166,1900,8150.0,12754.688279999982
Q8IWY4,3335,17544.0,22235.97461999998
O15442,2617,10602.0,17514.37680999994
Q9BYW1,1054,6591.0,6707.483499999983
Q69YQ0,1352,7812.0,8895.284370000029
P36269,838,4128.0,5726.044860000005
P29274,618,4343.0,3868.8745599999947
P86434,618,4343.0,3868.8745599999947
P14784,631,4488.0,3895.413439999995
P15153,908,4608.0,5584.803720000004
Q99705,230,1515.0,1409.0724399999997
Q969V6,238,1607.0,1453.0910299999991
Q3SXP7,3124,15021.0,20938.58010999993
Q6ICG6,649,3073.0,4431.786890000002
Q6IC98,299,2715.0,1796.8042500000004
O15371,1905,10494.0,12431.496840000007
Q99757,1905,10494.0,12431.496840000007
Q8IWF2,1905,10494.0,12431.496840000007
P59817,1174,7120.0,7918.571999999997
Q86YH2,1174,7120.0,7918.571999999997
P35626,1305,6875.0,8341.863370000014
Q9P0X4,3204,15876.0,21178.959359999968
P49593,534,3760.0,3653.4101800000058
O95985,534,3760.0,3653.4101800000058
Q5R3I4,1248,7632.0,8260.197360000006
O75648,1248,7632.0,8260.197360000006
Q9NTG1,1248,7632.0,8260.197360000006
Q9NYZ3,1248,7632.0,8260.197360000006
Q7Z3Z3,283,2485.0,1725.08486
Q14390,33,554.0,178.21185000000003
